FID;Id;X_coor;Y_coor;Zwev_stof;Troebelhei;graad_L;graad_B
0;1;2.011.874.151;3.891.113.443;11;16;6.052220821;51.48914047
1;10;2.017.254.465;3.889.348.007;7.6;15;6.05994359472;51.48750926
2;3;2.013.337.961;3.891.139.239;9.4;19;6.054329;51.48915162
3;9;2.016.819.887;3.889.789.863;9;15;6.059323808;51.48791001
4;2;2.012.575.299;3.891.337.679;9.2;14;6.053233244;51.48933626
5;6;2.015.314.403;3.890.952.049;8.8;15;6.057171751;51.48896707
6;7;2.015.959.991;3.890.720.537;7.6;11;6.058098156;51.48875364
7;8;2.016.535.461;3.890.465.215;10;16;6.058923286;51.48851939
8;5;2.014.621.193;3.890.706.645;8.2;14;6.056170468;51.48875222
9;4;2.014.082.103;3.891.188.187;15;17;6.055400685;51.48918949